has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,151613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486,150330,2,testinghelloma,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1581,1,hydralib,malicious
0,6,287365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.957,45,1,fenomenallib,malicious
1,10,18391,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1615,1,libcraftguipost,malicious
1,7,2707,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.663,1442,1,py-cojrd,malicious
1,10,5066,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.549,3247,3,browserdiv,malicious
0,17,52289,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.609,46517,8,pyfernet,malicious
1,10,18645,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1618,1,libvirtualpipvisa,malicious
1,10,17205,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1580,1,cvload,malicious
1,3,67239,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63509,2,selennium,malicious
1,3,67230,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63503,2,pytoch,malicious
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1618,1,tpreplaceloadpong,malicious
1,8,2616,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.653,1524,2,install-crypto,malicious
1,3,67263,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63525,2,reqeusts-toolbelt,malicious
1,8,2663,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.654,1529,2,beautifulsoup-requests,malicious
1,11,1644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.252,934,3,db-aggregator-api,malicious
1,10,18394,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1615,1,tposintlibintel,malicious
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1579,1,cvvisa,malicious
1,8,1255,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.739,801,1,antchain-sdk-stlr,malicious
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1618,1,selframrandommask,malicious
